primary_key,region,ratingScore,priceValue,priceCurrency,listPriceValue,listPriceCurrency,headphoneName,batteryLabel,batteryScore,comfortLabel,comfortScore,noisecancellationLabel,noisecancellationScore,soundqualityLabel,soundqualityScore
33,US,4.0,164.97,USD,,USD,sony xm4 earbuds,Positive,0.6159763336181641,Positive,0.6179118156433105,,0.0,,0.0
34,US,4.0,164.97,USD,,USD,sony xm4 earbuds,Positive,0.5113606452941895,,0.0,Positive,0.51120924949646,Positive,0.5144293904304504
35,US,4.0,164.97,USD,,USD,sony xm4 earbuds,Negative,0.4892948567867279,Positive,0.4941284954547882,Negative,0.4909113049507141,Negative,0.4772316515445709
36,US,4.0,164.97,USD,,USD,sony xm4 earbuds,Negative,0.74285888671875,Negative,0.768453061580658,Negative,0.6994296312332153,Negative,0.7307714819908142
37,US,4.0,164.97,USD,,USD,sony xm4 earbuds,Positive,0.9281569123268129,,0.0,Positive,0.7626214623451233,,0.0
38,US,4.0,164.97,USD,,USD,sony xm4 earbuds,Positive,0.751305878162384,Positive,0.7451347708702087,Positive,0.6251922249794006,Positive,0.8226040601730347
39,US,4.0,164.97,USD,,USD,sony xm4 earbuds,Positive,0.514635443687439,,0.0,,0.0,Positive,0.9738078713417052
40,US,4.0,164.97,USD,,USD,sony xm4 earbuds,,0.0,Positive,0.6248387098312378,Positive,0.5815070867538452,Positive,0.6446992754936218
41,US,2.0,164.97,USD,,USD,sony xm4 earbuds,Negative,0.9100986123085022,Negative,0.9111012816429138,Negative,0.9147359728813172,Negative,0.9098870158195496
42,US,2.0,164.97,USD,,USD,sony xm4 earbuds,,0.0,Negative,0.9303509593009948,Negative,0.9293879270553588,,0.0
43,US,2.0,164.97,USD,,USD,sony xm4 earbuds,,0.0,,0.0,Negative,0.7952494025230408,,0.0
44,US,2.0,164.97,USD,,USD,sony xm4 earbuds,,0.0,Negative,0.6179179549217224,,0.0,Negative,0.6729744672775269
45,US,2.0,164.97,USD,,USD,sony xm4 earbuds,Negative,0.9177173972129822,Negative,0.927377700805664,Negative,0.9145100712776184,,0.0
46,US,2.0,164.97,USD,,USD,sony xm4 earbuds,,0.0,,0.0,,0.0,,0.0
47,US,2.0,164.97,USD,,USD,sony xm4 earbuds,,0.0,Negative,0.638515293598175,Negative,0.7037004232406616,,0.0
48,US,2.0,164.97,USD,,USD,sony xm4 earbuds,Negative,0.8703763484954834,,0.0,Negative,0.9232572317123412,,0.0
49,US,2.0,164.97,USD,,USD,sony xm4 earbuds,Negative,0.6232796311378479,,0.0,Positive,0.9388407468795776,Positive,0.9340585470199584
50,US,2.0,164.97,USD,,USD,sony xm4 earbuds,Negative,0.9691866636276244,,0.0,,0.0,,0.0
51,US,5.0,110.0,USD,,USD,Galaxy Buds2 Pro,Positive,0.8080567717552185,Positive,0.8333995938301086,Positive,0.8209220170974731,Positive,0.8200616836547852
52,US,5.0,110.0,USD,,USD,Galaxy Buds2 Pro,Positive,0.9417638778686525,,0.0,Positive,0.9468816518783568,Positive,0.9479025602340698
53,US,5.0,110.0,USD,,USD,Galaxy Buds2 Pro,,0.0,,0.0,,0.0,,0.0
54,US,5.0,110.0,USD,,USD,Galaxy Buds2 Pro,,0.0,,0.0,Positive,0.7182292342185974,Positive,0.990649402141571
55,US,5.0,110.0,USD,,USD,Galaxy Buds2 Pro,Positive,0.5912675857543945,,0.0,,0.0,Positive,0.7086032032966614
56,US,5.0,110.0,USD,,USD,Galaxy Buds2 Pro,,0.0,,0.0,Positive,0.9876282215118408,,0.0
57,US,5.0,110.0,USD,,USD,Galaxy Buds2 Pro,Positive,0.8992384672164917,,0.0,,0.0,,0.0
58,US,5.0,110.0,USD,,USD,Galaxy Buds2 Pro,,0.0,Positive,0.9889660477638244,Positive,0.6615104079246521,,0.0
59,US,5.0,110.0,USD,,USD,Galaxy Buds2 Pro,,0.0,,0.0,,0.0,,0.0
60,US,5.0,110.0,USD,,USD,Galaxy Buds2 Pro,,0.0,Positive,0.8996761441230774,,0.0,,0.0
61,US,2.0,110.0,USD,,USD,Galaxy Buds2 Pro,,0.0,,0.0,Negative,0.4807920157909393,Positive,0.6076388359069824
62,US,2.0,110.0,USD,,USD,Galaxy Buds2 Pro,,0.0,,0.0,,0.0,,0.0
63,US,2.0,110.0,USD,,USD,Galaxy Buds2 Pro,,0.0,Negative,0.9680419564247132,,0.0,,0.0
64,US,2.0,110.0,USD,,USD,Galaxy Buds2 Pro,,0.0,,0.0,,0.0,,0.0
65,US,2.0,110.0,USD,,USD,Galaxy Buds2 Pro,,0.0,,0.0,Negative,0.7004821300506592,Positive,0.8323100209236145
66,US,2.0,110.0,USD,,USD,Galaxy Buds2 Pro,,0.0,,0.0,Positive,0.7849933505058289,,0.0
67,US,2.0,110.0,USD,,USD,Galaxy Buds2 Pro,,0.0,,0.0,,0.0,Negative,0.6574811935424805
68,US,2.0,110.0,USD,,USD,Galaxy Buds2 Pro,,0.0,,0.0,,0.0,,0.0
69,US,2.0,110.0,USD,,USD,Galaxy Buds2 Pro,Negative,0.9623690247535706,,0.0,Negative,0.9790467023849488,,0.0
70,US,2.0,110.0,USD,,USD,Galaxy Buds2 Pro,,0.0,,0.0,,0.0,,0.0
71,US,3.0,110.0,USD,,USD,Galaxy Buds2 Pro,,0.0,,0.0,Positive,0.9051457047462464,Negative,0.9300702810287476
72,US,3.0,110.0,USD,,USD,Galaxy Buds2 Pro,Negative,0.8596862554550171,Positive,0.7641876935958862,,0.0,,0.0
73,US,3.0,110.0,USD,,USD,Galaxy Buds2 Pro,,0.0,,0.0,,0.0,,0.0
74,US,3.0,110.0,USD,,USD,Galaxy Buds2 Pro,,0.0,,0.0,Negative,0.9324026107788086,,0.0
75,US,3.0,110.0,USD,,USD,Galaxy Buds2 Pro,Negative,0.953813135623932,,0.0,,0.0,Negative,0.7283621430397034
76,US,3.0,110.0,USD,,USD,Galaxy Buds2 Pro,,0.0,,0.0,,0.0,,0.0
77,US,3.0,110.0,USD,,USD,Galaxy Buds2 Pro,,0.0,,0.0,,0.0,,0.0
78,US,3.0,110.0,USD,,USD,Galaxy Buds2 Pro,,0.0,,0.0,Negative,0.9952864050865172,,0.0
79,US,3.0,110.0,USD,,USD,Galaxy Buds2 Pro,,0.0,Negative,0.995252013206482,Positive,0.9725074172019958,Positive,0.994481325149536
80,US,3.0,110.0,USD,,USD,Galaxy Buds2 Pro,,0.0,,0.0,,0.0,,0.0
81,US,1.0,110.0,USD,,USD,Galaxy Buds2 Pro,,0.0,,0.0,,0.0,,0.0
82,US,1.0,110.0,USD,,USD,Galaxy Buds2 Pro,,0.0,,0.0,,0.0,,0.0
83,US,1.0,110.0,USD,,USD,Galaxy Buds2 Pro,,0.0,,0.0,Positive,0.9863939881324768,,0.0
84,US,1.0,110.0,USD,,USD,Galaxy Buds2 Pro,,0.0,,0.0,,0.0,,0.0
85,US,1.0,110.0,USD,,USD,Galaxy Buds2 Pro,Negative,0.973011076450348,Negative,0.9675101637840272,,0.0,Negative,0.9807711243629456
86,US,1.0,110.0,USD,,USD,Galaxy Buds2 Pro,,0.0,,0.0,,0.0,,0.0
87,US,1.0,110.0,USD,,USD,Galaxy Buds2 Pro,,0.0,Negative,0.9914789795875548,,0.0,,0.0
88,US,1.0,110.0,USD,,USD,Galaxy Buds2 Pro,,0.0,,0.0,,0.0,,0.0
89,US,1.0,110.0,USD,,USD,Galaxy Buds2 Pro,,0.0,,0.0,,0.0,,0.0
90,US,1.0,110.0,USD,,USD,Galaxy Buds2 Pro,,0.0,,0.0,,0.0,Negative,0.8749172687530518
91,US,4.0,110.0,USD,,USD,Galaxy Buds2 Pro,,0.0,,0.0,,0.0,Positive,0.6741032600402832
92,US,4.0,110.0,USD,,USD,Galaxy Buds2 Pro,,0.0,,0.0,Negative,0.4855258166790008,Positive,0.5513550639152527
93,US,4.0,110.0,USD,,USD,Galaxy Buds2 Pro,,0.0,,0.0,Positive,0.9325504302978516,,0.0
94,US,4.0,110.0,USD,,USD,Galaxy Buds2 Pro,,0.0,,0.0,,0.0,,0.0
95,US,4.0,110.0,USD,,USD,Galaxy Buds2 Pro,Negative,0.7241185307502747,,0.0,,0.0,,0.0
96,US,4.0,110.0,USD,,USD,Galaxy Buds2 Pro,,0.0,,0.0,,0.0,Positive,0.9758392572402954
97,US,4.0,110.0,USD,,USD,Galaxy Buds2 Pro,,0.0,Positive,0.566696286201477,Negative,0.8662169575691223,,0.0
98,US,4.0,110.0,USD,,USD,Galaxy Buds2 Pro,Negative,0.8371202349662781,Negative,0.7188701629638672,Positive,0.7373620271682739,,0.0
99,US,4.0,110.0,USD,,USD,Galaxy Buds2 Pro,,0.0,,0.0,,0.0,,0.0
100,US,4.0,110.0,USD,,USD,Galaxy Buds2 Pro,,0.0,,0.0,,0.0,,0.0
101,US,1.0,,USD,,USD,Sennheiser MTW3,,0.0,,0.0,,0.0,,0.0
102,US,1.0,,USD,,USD,Sennheiser MTW3,,0.0,Positive,0.6632487177848816,,0.0,,0.0
103,US,1.0,,USD,,USD,Sennheiser MTW3,,0.0,,0.0,,0.0,,0.0
104,US,1.0,,USD,,USD,Sennheiser MTW3,Positive,0.5128731727600098,,0.0,Negative,0.8024545311927795,,0.0
105,US,1.0,,USD,,USD,Sennheiser MTW3,,0.0,,0.0,,0.0,Positive,0.7644268274307251
106,US,1.0,,USD,,USD,Sennheiser MTW3,,0.0,,0.0,,0.0,Negative,0.8031853437423706
107,US,1.0,,USD,,USD,Sennheiser MTW3,,0.0,,0.0,,0.0,,0.0
108,US,1.0,,USD,,USD,Sennheiser MTW3,,0.0,,0.0,,0.0,,0.0
109,US,1.0,,USD,,USD,Sennheiser MTW3,,0.0,Negative,0.8152092695236206,Negative,0.5028419494628906,,0.0
110,US,1.0,,USD,,USD,Sennheiser MTW3,,0.0,Negative,0.9908728003501892,Negative,0.990508198738098,,0.0
111,US,4.0,,USD,,USD,Sennheiser MTW3,Negative,0.8689778447151184,Negative,0.8873897790908813,,0.0,,0.0
112,US,4.0,,USD,,USD,Sennheiser MTW3,,0.0,Positive,0.8057384490966797,,0.0,Positive,0.7723519802093506
113,US,4.0,,USD,,USD,Sennheiser MTW3,,0.0,Positive,0.6388434171676636,Positive,0.7572497725486755,Positive,0.6861785054206848
114,US,4.0,,USD,,USD,Sennheiser MTW3,Negative,0.8970867395401001,Negative,0.867107629776001,Negative,0.8736780881881714,,0.0
115,US,4.0,,USD,,USD,Sennheiser MTW3,Negative,0.5428717136383057,,0.0,,0.0,Positive,0.773423433303833
116,US,4.0,,USD,,USD,Sennheiser MTW3,,0.0,Positive,0.6681024432182312,Positive,0.8043549656867981,Positive,0.8579320311546326
117,US,4.0,,USD,,USD,Sennheiser MTW3,,0.0,,0.0,,0.0,,0.0
118,US,4.0,,USD,,USD,Sennheiser MTW3,Positive,0.8414223194122314,Positive,0.86026531457901,Positive,0.7688851952552795,,0.0
119,US,4.0,,USD,,USD,Sennheiser MTW3,,0.0,,0.0,,0.0,Negative,0.7479670643806458
120,US,4.0,,USD,,USD,Sennheiser MTW3,,0.0,Negative,0.554747462272644,Positive,0.5141599774360657,,0.0
121,US,5.0,,USD,,USD,Sennheiser MTW3,Negative,0.624071478843689,Negative,0.4632077515125274,,0.0,,0.0
122,US,5.0,,USD,,USD,Sennheiser MTW3,,0.0,Positive,0.8611997961997986,,0.0,Positive,0.8695206046104431
123,US,5.0,,USD,,USD,Sennheiser MTW3,,0.0,,0.0,,0.0,Positive,0.613231360912323
124,US,5.0,,USD,,USD,Sennheiser MTW3,,0.0,Positive,0.8022664785385132,Positive,0.7014011740684509,,0.0
125,US,5.0,,USD,,USD,Sennheiser MTW3,Positive,0.8224326968193054,Positive,0.8279168009757996,Positive,0.8227167129516602,Positive,0.8246234059333801
126,US,5.0,,USD,,USD,Sennheiser MTW3,Positive,0.8045668005943298,Positive,0.832901656627655,Positive,0.8188979625701904,,0.0
127,US,5.0,,USD,,USD,Sennheiser MTW3,Positive,0.9442230463027954,Positive,0.9391982555389404,Positive,0.933565616607666,Positive,0.9354442954063416
128,US,5.0,,USD,,USD,Sennheiser MTW3,,0.0,,0.0,,0.0,,0.0
129,US,5.0,,USD,,USD,Sennheiser MTW3,Positive,0.7530125379562378,,0.0,,0.0,,0.0
130,US,5.0,,USD,,USD,Sennheiser MTW3,,0.0,,0.0,Positive,0.851212739944458,Positive,0.7518177628517151
131,US,2.0,,USD,,USD,Sennheiser MTW3,Positive,0.6226349472999573,,0.0,Positive,0.5883862972259521,,0.0
132,US,2.0,,USD,,USD,Sennheiser MTW3,Negative,0.8899135589599609,,0.0,Negative,0.896594226360321,Negative,0.8868550062179565
133,US,2.0,,USD,,USD,Sennheiser MTW3,Negative,0.82340008020401,Negative,0.8019125461578369,,0.0,,0.0
134,US,2.0,,USD,,USD,Sennheiser MTW3,,0.0,,0.0,,0.0,Negative,0.930073380470276
135,US,2.0,,USD,,USD,Sennheiser MTW3,,0.0,,0.0,,0.0,Negative,0.5883949995040894
136,US,2.0,,USD,,USD,Sennheiser MTW3,,0.0,Positive,0.5616241693496704,,0.0,Positive,0.6709519028663635
137,US,2.0,,USD,,USD,Sennheiser MTW3,,0.0,Negative,0.881797730922699,Negative,0.8703909516334534,Negative,0.8274649381637573
138,US,2.0,,USD,,USD,Sennheiser MTW3,Negative,0.9675832390785216,Negative,0.9615319967269896,,0.0,,0.0
139,US,2.0,,USD,,USD,Sennheiser MTW3,,0.0,,0.0,,0.0,Negative,0.5685046315193176
140,US,2.0,,USD,,USD,Sennheiser MTW3,Negative,0.7841721773147583,,0.0,Negative,0.9382497668266296,Negative,0.8604413866996765
141,US,3.0,,USD,,USD,Sennheiser MTW3,,0.0,Positive,0.4930635094642639,Positive,0.5065734386444092,,0.0
142,US,3.0,,USD,,USD,Sennheiser MTW3,Positive,0.5144688487052917,Positive,0.7054272890090942,,0.0,,0.0
143,US,3.0,,USD,,USD,Sennheiser MTW3,,0.0,Positive,0.8643501996994019,,0.0,Positive,0.7927196025848389
144,US,3.0,,USD,,USD,Sennheiser MTW3,Positive,0.7297156453132629,,0.0,,0.0,,0.0
145,US,3.0,,USD,,USD,Sennheiser MTW3,,0.0,Negative,0.7238003611564636,,0.0,Negative,0.8133618235588074
146,US,3.0,,USD,,USD,Sennheiser MTW3,,0.0,,0.0,,0.0,,0.0
147,US,3.0,,USD,,USD,Sennheiser MTW3,,0.0,,0.0,,0.0,,0.0
148,US,3.0,,USD,,USD,Sennheiser MTW3,,0.0,,0.0,,0.0,Negative,0.4926842749118805
149,US,3.0,,USD,,USD,Sennheiser MTW3,,0.0,,0.0,,0.0,,0.0
150,US,3.0,,USD,,USD,Sennheiser MTW3,,0.0,,0.0,,0.0,,0.0
151,US,2.0,182.19,USD,279.0,USD,Bose Quietcomfort Earbuds 2,,0.0,,0.0,Negative,0.9028095006942748,Negative,0.897121012210846
152,US,2.0,182.19,USD,279.0,USD,Bose Quietcomfort Earbuds 2,,0.0,,0.0,Negative,0.6365004181861877,,0.0
153,US,2.0,182.19,USD,279.0,USD,Bose Quietcomfort Earbuds 2,Negative,0.9607999324798584,Negative,0.9439691305160522,Negative,0.8995583057403564,,0.0
154,US,2.0,182.19,USD,279.0,USD,Bose Quietcomfort Earbuds 2,Negative,0.9248082041740416,Negative,0.9272868633270264,Negative,0.9123160243034364,Negative,0.9399815797805786
155,US,2.0,182.19,USD,279.0,USD,Bose Quietcomfort Earbuds 2,Negative,0.8811601996421814,,0.0,Negative,0.5098093152046204,Negative,0.5584778189659119
156,US,2.0,182.19,USD,279.0,USD,Bose Quietcomfort Earbuds 2,Negative,0.5161347985267639,,0.0,,0.0,,0.0
157,US,2.0,182.19,USD,279.0,USD,Bose Quietcomfort Earbuds 2,,0.0,Negative,0.6408441662788391,Negative,0.6006871461868286,Negative,0.9027045965194702
158,US,2.0,182.19,USD,279.0,USD,Bose Quietcomfort Earbuds 2,,0.0,,0.0,,0.0,Positive,0.4392096698284149
159,US,2.0,182.19,USD,279.0,USD,Bose Quietcomfort Earbuds 2,Negative,0.822263240814209,,0.0,Negative,0.7819610238075256,Positive,0.5772425532341003
160,US,2.0,182.19,USD,279.0,USD,Bose Quietcomfort Earbuds 2,,0.0,,0.0,Positive,0.7722495198249817,,0.0
161,US,1.0,182.19,USD,279.0,USD,Bose Quietcomfort Earbuds 2,Negative,0.7750527262687683,Negative,0.7780146598815918,Negative,0.7981658577919006,Negative,0.7780086398124695
162,US,1.0,182.19,USD,279.0,USD,Bose Quietcomfort Earbuds 2,Negative,0.9603485465049744,,0.0,,0.0,,0.0
163,US,1.0,182.19,USD,279.0,USD,Bose Quietcomfort Earbuds 2,Negative,0.6538134217262268,Negative,0.676886260509491,Negative,0.7092592716217041,Negative,0.6224581599235535
164,US,1.0,182.19,USD,279.0,USD,Bose Quietcomfort Earbuds 2,Negative,0.8195802569389343,,0.0,Negative,0.8303565382957458,Negative,0.6146473288536072
165,US,1.0,182.19,USD,279.0,USD,Bose Quietcomfort Earbuds 2,,0.0,Positive,0.492957592010498,Positive,0.4890978932380676,Positive,0.534005880355835
166,US,1.0,182.19,USD,279.0,USD,Bose Quietcomfort Earbuds 2,,0.0,,0.0,Negative,0.5580358505249023,,0.0
167,US,1.0,182.19,USD,279.0,USD,Bose Quietcomfort Earbuds 2,,0.0,Negative,0.8918052315711975,,0.0,,0.0
168,US,1.0,182.19,USD,279.0,USD,Bose Quietcomfort Earbuds 2,,0.0,,0.0,,0.0,Negative,0.8568716645240784
169,US,1.0,182.19,USD,279.0,USD,Bose Quietcomfort Earbuds 2,Negative,0.9576998353004456,,0.0,Negative,0.8949888348579407,,0.0
170,US,1.0,182.19,USD,279.0,USD,Bose Quietcomfort Earbuds 2,,0.0,,0.0,,0.0,,0.0
171,US,5.0,182.19,USD,279.0,USD,Bose Quietcomfort Earbuds 2,Positive,0.769435465335846,Positive,0.9658146500587464,,0.0,Positive,0.9298836588859558
172,US,5.0,182.19,USD,279.0,USD,Bose Quietcomfort Earbuds 2,Positive,0.5810956358909607,Positive,0.6992767453193665,Positive,0.5914324522018433,,0.0
173,US,5.0,182.19,USD,279.0,USD,Bose Quietcomfort Earbuds 2,,0.0,Positive,0.5420598983764648,Positive,0.5093546509742737,,0.0
174,US,5.0,182.19,USD,279.0,USD,Bose Quietcomfort Earbuds 2,,0.0,,0.0,,0.0,Positive,0.8486886024475098
175,US,5.0,182.19,USD,279.0,USD,Bose Quietcomfort Earbuds 2,,0.0,,0.0,Positive,0.910055935382843,,0.0
176,US,5.0,182.19,USD,279.0,USD,Bose Quietcomfort Earbuds 2,,0.0,,0.0,,0.0,,0.0
177,US,5.0,182.19,USD,279.0,USD,Bose Quietcomfort Earbuds 2,Positive,0.9938422441482544,,0.0,,0.0,,0.0
178,US,5.0,182.19,USD,279.0,USD,Bose Quietcomfort Earbuds 2,Positive,0.9862412214279176,,0.0,Positive,0.9919760823249816,Positive,0.9918760061264038
179,US,5.0,182.19,USD,279.0,USD,Bose Quietcomfort Earbuds 2,,0.0,Negative,0.597213089466095,Negative,0.6109629273414612,,0.0
180,US,5.0,182.19,USD,279.0,USD,Bose Quietcomfort Earbuds 2,,0.0,Positive,0.9305817484855652,Positive,0.8607649207115173,,0.0
181,US,3.0,182.19,USD,279.0,USD,Bose Quietcomfort Earbuds 2,,0.0,,0.0,Negative,0.8972402811050415,,0.0
182,US,3.0,182.19,USD,279.0,USD,Bose Quietcomfort Earbuds 2,,0.0,Positive,0.820554256439209,Negative,0.8888838887214661,,0.0
183,US,3.0,182.19,USD,279.0,USD,Bose Quietcomfort Earbuds 2,Positive,0.5470876097679138,,0.0,Negative,0.6180806756019592,Positive,0.5156355500221252
184,US,3.0,182.19,USD,279.0,USD,Bose Quietcomfort Earbuds 2,Negative,0.4515820443630218,Negative,0.5838450193405151,Negative,0.4935298562049866,,0.0
185,US,3.0,182.19,USD,279.0,USD,Bose Quietcomfort Earbuds 2,,0.0,Positive,0.7984902262687683,Positive,0.8788249492645264,Positive,0.8457750082015991
186,US,3.0,182.19,USD,279.0,USD,Bose Quietcomfort Earbuds 2,Negative,0.512847363948822,,0.0,Positive,0.5958954691886902,,0.0
187,US,3.0,182.19,USD,279.0,USD,Bose Quietcomfort Earbuds 2,,0.0,,0.0,,0.0,,0.0
188,US,3.0,182.19,USD,279.0,USD,Bose Quietcomfort Earbuds 2,,0.0,Negative,0.8663986921310425,,0.0,,0.0
189,US,3.0,182.19,USD,279.0,USD,Bose Quietcomfort Earbuds 2,,0.0,Positive,0.5875295996665955,Negative,0.5855441689491272,,0.0
190,US,3.0,182.19,USD,279.0,USD,Bose Quietcomfort Earbuds 2,,0.0,Negative,0.6778486967086792,,0.0,Negative,0.7865553498268127
191,US,4.0,182.19,USD,279.0,USD,Bose Quietcomfort Earbuds 2,Negative,0.6528868079185486,Negative,0.6544635891914368,,0.0,Negative,0.6708380579948425
192,US,4.0,182.19,USD,279.0,USD,Bose Quietcomfort Earbuds 2,,0.0,,0.0,Positive,0.8146124482154846,,0.0
193,US,4.0,182.19,USD,279.0,USD,Bose Quietcomfort Earbuds 2,,0.0,Negative,0.670525074005127,Negative,0.5263662338256836,,0.0
194,US,4.0,182.19,USD,279.0,USD,Bose Quietcomfort Earbuds 2,Positive,0.8450689911842346,,0.0,Positive,0.8568570017814636,Positive,0.9216355681419371
195,US,4.0,182.19,USD,279.0,USD,Bose Quietcomfort Earbuds 2,,0.0,,0.0,,0.0,,0.0
196,US,4.0,182.19,USD,279.0,USD,Bose Quietcomfort Earbuds 2,,0.0,,0.0,,0.0,,0.0
197,US,4.0,182.19,USD,279.0,USD,Bose Quietcomfort Earbuds 2,,0.0,Positive,0.9920759201049804,,0.0,Positive,0.9931957721710204
198,US,4.0,182.19,USD,279.0,USD,Bose Quietcomfort Earbuds 2,,0.0,,0.0,,0.0,Positive,0.5715318322181702
199,US,4.0,182.19,USD,279.0,USD,Bose Quietcomfort Earbuds 2,Positive,0.9075680375099182,,0.0,Negative,0.5616591572761536,Positive,0.904784858226776
200,US,4.0,182.19,USD,279.0,USD,Bose Quietcomfort Earbuds 2,,0.0,Positive,0.9853991270065308,,0.0,,0.0
201,US,2.0,229.99,USD,,USD,Bose Quietcomfort Earbuds,,0.0,,0.0,,0.0,,0.0
202,US,2.0,229.99,USD,,USD,Bose Quietcomfort Earbuds,,0.0,,0.0,Negative,0.4559706151485443,Negative,0.5781934261322021
203,US,2.0,229.99,USD,,USD,Bose Quietcomfort Earbuds,Negative,0.801205039024353,,0.0,Negative,0.8370282053947449,,0.0
204,US,2.0,229.99,USD,,USD,Bose Quietcomfort Earbuds,,0.0,Negative,0.8179908394813538,,0.0,,0.0
205,US,2.0,229.99,USD,,USD,Bose Quietcomfort Earbuds,,0.0,,0.0,,0.0,,0.0
206,US,2.0,229.99,USD,,USD,Bose Quietcomfort Earbuds,,0.0,Negative,0.94065660238266,Negative,0.93584805727005,,0.0
207,US,2.0,229.99,USD,,USD,Bose Quietcomfort Earbuds,Negative,0.7435566186904907,Negative,0.626301109790802,,0.0,,0.0
208,US,2.0,229.99,USD,,USD,Bose Quietcomfort Earbuds,,0.0,,0.0,,0.0,,0.0
