headphoneName,batteryLabel,batteryScore,comfortLabel,comfortScore,noisecancellationLabel,noisecancellationScore,soundqualityLabel,soundqualityScore
sony xm4 earbuds,Negative,0.8877530097961426,Negative,0.9024286866188049,Negative,0.960952639579773,Negative,0.7243043184280396
sony xm4 earbuds,NA,0.0,NA,0.0,NA,0.0,NA,0.0
sony xm4 earbuds,Negative,0.9937991499900818,NA,0.0,NA,0.0,NA,0.0
sony xm4 earbuds,Negative,0.8208169341087341,NA,0.0,Negative,0.8316583037376404,NA,0.0
sony xm4 earbuds,Negative,0.8518353700637817,NA,0.0,Positive,0.993423581123352,Positive,0.9958091974258423
sony xm4 earbuds,NA,0.0,Negative,0.4728717803955078,NA,0.0,NA,0.0
sony xm4 earbuds,Positive,0.9612099528312683,Positive,0.9629822969436646,Positive,0.9612169861793518,Positive,0.9622872471809387
sony xm4 earbuds,Positive,0.950746476650238,Positive,0.9555351734161377,Positive,0.9592558741569519,Positive,0.9557833075523376
sony xm4 earbuds,NA,0.0,Negative,0.618005633354187,Negative,0.6601470112800598,Negative,0.6003272533416748
sony xm4 earbuds,NA,0.0,NA,0.0,Positive,0.7402992248535156,NA,0.0
sony xm4 earbuds,NA,0.0,NA,0.0,NA,0.0,NA,0.0
sony xm4 earbuds,NA,0.0,NA,0.0,NA,0.0,NA,0.0
sony xm4 earbuds,NA,0.0,NA,0.0,NA,0.0,NA,0.0
sony xm4 earbuds,Positive,0.9767493009567261,NA,0.0,Positive,0.9890568852424622,NA,0.0
sony xm4 earbuds,Positive,0.953612208366394,NA,0.0,Positive,0.9764965176582336,Positive,0.8770238757133484
sony xm4 earbuds,Negative,0.9163185954093933,NA,0.0,Negative,0.9351444840431213,Negative,0.8915606737136841
sony xm4 earbuds,Negative,0.928767204284668,NA,0.0,Negative,0.8727741837501526,NA,0.0
sony xm4 earbuds,NA,0.0,NA,0.0,NA,0.0,NA,0.0
sony xm4 earbuds,Negative,0.9416512846946716,NA,0.0,NA,0.0,NA,0.0
sony xm4 earbuds,Positive,0.7034683227539062,Negative,0.5733057260513306,Positive,0.7490787506103516,Positive,0.6872912645339966
sony xm4 earbuds,Negative,0.9821664690971375,NA,0.0,NA,0.0,NA,0.0
sony xm4 earbuds,NA,0.0,NA,0.0,NA,0.0,NA,0.0
sony xm4 earbuds,Negative,0.7907058596611023,NA,0.0,NA,0.0,NA,0.0
sony xm4 earbuds,Negative,0.7702323198318481,NA,0.0,Negative,0.721241295337677,Negative,0.6988680362701416
sony xm4 earbuds,Negative,0.9516952037811279,NA,0.0,NA,0.0,Negative,0.9825406670570374
Galaxy Buds2 Pro,NA,0.0,NA,0.0,Negative,0.9224945306777954,NA,0.0
Galaxy Buds2 Pro,NA,0.0,Negative,0.8530649542808533,NA,0.0,NA,0.0
Galaxy Buds2 Pro,NA,0.0,NA,0.0,NA,0.0,NA,0.0
Galaxy Buds2 Pro,NA,0.0,NA,0.0,NA,0.0,Positive,0.9972283244132996
Galaxy Buds2 Pro,NA,0.0,NA,0.0,NA,0.0,NA,0.0
Galaxy Buds2 Pro,NA,0.0,NA,0.0,NA,0.0,NA,0.0
Galaxy Buds2 Pro,NA,0.0,NA,0.0,NA,0.0,NA,0.0
Galaxy Buds2 Pro,NA,0.0,NA,0.0,NA,0.0,NA,0.0
Galaxy Buds2 Pro,NA,0.0,Positive,0.516440749168396,Negative,0.5078205466270447,Positive,0.5308582782745361
Galaxy Buds2 Pro,NA,0.0,NA,0.0,Negative,0.48079201579093933,Positive,0.6076388359069824
Galaxy Buds2 Pro,NA,0.0,NA,0.0,Positive,0.9414538741111755,NA,0.0
Galaxy Buds2 Pro,NA,0.0,NA,0.0,Positive,0.9962236881256104,NA,0.0
Galaxy Buds2 Pro,NA,0.0,NA,0.0,NA,0.0,Positive,0.9238126873970032
Galaxy Buds2 Pro,NA,0.0,NA,0.0,Positive,0.9983980059623718,NA,0.0
Galaxy Buds2 Pro,NA,0.0,Positive,0.9918665289878845,NA,0.0,NA,0.0
Galaxy Buds2 Pro,NA,0.0,NA,0.0,NA,0.0,Positive,0.9949225783348083
Galaxy Buds2 Pro,NA,0.0,NA,0.0,NA,0.0,NA,0.0
Galaxy Buds2 Pro,NA,0.0,NA,0.0,NA,0.0,NA,0.0
Galaxy Buds2 Pro,NA,0.0,NA,0.0,NA,0.0,NA,0.0
Galaxy Buds2 Pro,NA,0.0,NA,0.0,NA,0.0,NA,0.0
Galaxy Buds2 Pro,NA,0.0,NA,0.0,NA,0.0,NA,0.0
Galaxy Buds2 Pro,Negative,0.9945308566093445,NA,0.0,NA,0.0,NA,0.0
Galaxy Buds2 Pro,NA,0.0,NA,0.0,Negative,0.9957334399223328,NA,0.0
Galaxy Buds2 Pro,Positive,0.8759844899177551,Positive,0.8792345523834229,Positive,0.872227668762207,Positive,0.8772657513618469
Galaxy Buds2 Pro,NA,0.0,NA,0.0,NA,0.0,Positive,0.6741032600402832
Galaxy Buds2 Pro,NA,0.0,NA,0.0,NA,0.0,NA,0.0
Galaxy Buds2 Pro,NA,0.0,NA,0.0,Negative,0.48552581667900085,Positive,0.5513550639152527
Galaxy Buds2 Pro,NA,0.0,NA,0.0,Positive,0.9325504302978516,NA,0.0
Galaxy Buds2 Pro,NA,0.0,NA,0.0,NA,0.0,NA,0.0
Galaxy Buds2 Pro,Negative,0.7241185307502747,NA,0.0,NA,0.0,NA,0.0
Galaxy Buds2 Pro,NA,0.0,NA,0.0,Negative,0.9895931482315063,NA,0.0
Galaxy Buds2 Pro,NA,0.0,NA,0.0,NA,0.0,NA,0.0
Galaxy Buds2 Pro,NA,0.0,NA,0.0,NA,0.0,NA,0.0
Galaxy Buds2 Pro,NA,0.0,NA,0.0,NA,0.0,Negative,0.9958577752113342
Galaxy Buds2 Pro,NA,0.0,NA,0.0,NA,0.0,NA,0.0
Galaxy Buds2 Pro,NA,0.0,NA,0.0,NA,0.0,NA,0.0
Galaxy Buds2 Pro,NA,0.0,NA,0.0,NA,0.0,NA,0.0
Galaxy Buds2 Pro,NA,0.0,NA,0.0,NA,0.0,NA,0.0
Galaxy Buds2 Pro,NA,0.0,NA,0.0,NA,0.0,Positive,0.7806545495986938
Galaxy Buds2 Pro,NA,0.0,NA,0.0,NA,0.0,NA,0.0
Galaxy Buds2 Pro,NA,0.0,NA,0.0,NA,0.0,NA,0.0
Galaxy Buds2 Pro,NA,0.0,NA,0.0,NA,0.0,Negative,0.9898356795310974
Galaxy Buds2 Pro,NA,0.0,NA,0.0,NA,0.0,NA,0.0
Galaxy Buds2 Pro,NA,0.0,NA,0.0,NA,0.0,NA,0.0
Galaxy Buds2 Pro,NA,0.0,NA,0.0,Positive,0.9051457047462463,Negative,0.9300702810287476
Galaxy Buds2 Pro,NA,0.0,NA,0.0,NA,0.0,NA,0.0
Galaxy Buds2 Pro,Negative,0.9882367253303528,NA,0.0,NA,0.0,NA,0.0
Galaxy Buds2 Pro,Negative,0.9538131356239319,NA,0.0,NA,0.0,Negative,0.7283621430397034
Galaxy Buds2 Pro,NA,0.0,NA,0.0,Negative,0.9952864050865173,NA,0.0
Galaxy Buds2 Pro,NA,0.0,Negative,0.9952520132064819,Positive,0.9725074172019958,Positive,0.9944813251495361
Sennheiser MTW3,Positive,0.46394097805023193,NA,0.0,Positive,0.9096397757530212,Positive,0.9422116279602051
Sennheiser MTW3,NA,0.0,NA,0.0,Negative,0.7539675235748291,NA,0.0
Sennheiser MTW3,NA,0.0,NA,0.0,NA,0.0,NA,0.0
Sennheiser MTW3,NA,0.0,Positive,0.9962449669837952,NA,0.0,NA,0.0
Sennheiser MTW3,NA,0.0,NA,0.0,Positive,0.9892247319221497,Positive,0.9974988102912903
Sennheiser MTW3,NA,0.0,NA,0.0,NA,0.0,Positive,0.9978919625282288
Sennheiser MTW3,NA,0.0,Positive,0.994012176990509,NA,0.0,NA,0.0
Sennheiser MTW3,NA,0.0,NA,0.0,NA,0.0,NA,0.0
Sennheiser MTW3,NA,0.0,NA,0.0,NA,0.0,NA,0.0
Sennheiser MTW3,NA,0.0,NA,0.0,NA,0.0,NA,0.0
Sennheiser MTW3,Negative,0.7388834953308105,Negative,0.711304783821106,NA,0.0,Negative,0.7445433735847473
Sennheiser MTW3,NA,0.0,NA,0.0,NA,0.0,NA,0.0
Sennheiser MTW3,NA,0.0,NA,0.0,NA,0.0,NA,0.0
Sennheiser MTW3,NA,0.0,NA,0.0,NA,0.0,Negative,0.9931617975234985
Sennheiser MTW3,NA,0.0,NA,0.0,NA,0.0,NA,0.0
Sennheiser MTW3,NA,0.0,NA,0.0,NA,0.0,NA,0.0
Sennheiser MTW3,NA,0.0,NA,0.0,NA,0.0,NA,0.0
Sennheiser MTW3,NA,0.0,NA,0.0,NA,0.0,NA,0.0
Sennheiser MTW3,NA,0.0,NA,0.0,NA,0.0,NA,0.0
Sennheiser MTW3,NA,0.0,NA,0.0,NA,0.0,NA,0.0
Sennheiser MTW3,Negative,0.8227639198303223,NA,0.0,NA,0.0,NA,0.0
Sennheiser MTW3,NA,0.0,NA,0.0,Negative,0.9198728799819946,NA,0.0
Sennheiser MTW3,NA,0.0,NA,0.0,NA,0.0,Positive,0.8783183693885803
Sennheiser MTW3,NA,0.0,NA,0.0,NA,0.0,NA,0.0
Sennheiser MTW3,NA,0.0,NA,0.0,NA,0.0,NA,0.0
Sennheiser MTW3,NA,0.0,NA,0.0,Negative,0.9623809456825256,NA,0.0
Sennheiser MTW3,Negative,0.9725667238235474,Positive,0.6584087014198303,Positive,0.8377753496170044,NA,0.0
Sennheiser MTW3,Negative,0.9957925081253052,NA,0.0,NA,0.0,NA,0.0
Sennheiser MTW3,NA,0.0,Negative,0.8623328804969788,Negative,0.8289148211479187,NA,0.0
Sennheiser MTW3,NA,0.0,NA,0.0,NA,0.0,NA,0.0
Sennheiser MTW3,Negative,0.8743203282356262,Negative,0.8894543647766113,NA,0.0,Negative,0.8474925756454468
Sennheiser MTW3,NA,0.0,NA,0.0,NA,0.0,NA,0.0
Sennheiser MTW3,NA,0.0,NA,0.0,Negative,0.7208899259567261,NA,0.0
Sennheiser MTW3,NA,0.0,NA,0.0,NA,0.0,NA,0.0
Sennheiser MTW3,NA,0.0,Positive,0.9845914840698242,NA,0.0,NA,0.0
Sennheiser MTW3,Positive,0.994094967842102,Positive,0.9944145679473877,NA,0.0,NA,0.0
Sennheiser MTW3,NA,0.0,NA,0.0,NA,0.0,NA,0.0
Sennheiser MTW3,NA,0.0,NA,0.0,Positive,0.5920565724372864,NA,0.0
Sennheiser MTW3,NA,0.0,NA,0.0,NA,0.0,NA,0.0
Sennheiser MTW3,NA,0.0,NA,0.0,Negative,0.9944654107093811,Negative,0.9945045113563538
Sennheiser MTW3,NA,0.0,Negative,0.8832194209098816,NA,0.0,Positive,0.9787821173667908
Sennheiser MTW3,NA,0.0,NA,0.0,Positive,0.9923519492149353,NA,0.0
Sennheiser MTW3,NA,0.0,NA,0.0,NA,0.0,NA,0.0
Sennheiser MTW3,NA,0.0,NA,0.0,NA,0.0,NA,0.0
Sennheiser MTW3,NA,0.0,NA,0.0,Positive,0.9952217936515808,NA,0.0
Sennheiser MTW3,NA,0.0,NA,0.0,NA,0.0,NA,0.0
Sennheiser MTW3,NA,0.0,NA,0.0,NA,0.0,Negative,0.8391296863555908
Sennheiser MTW3,NA,0.0,NA,0.0,NA,0.0,NA,0.0
Sennheiser MTW3,NA,0.0,NA,0.0,NA,0.0,Positive,0.9956780076026917
Sennheiser MTW3,NA,0.0,NA,0.0,NA,0.0,Positive,0.9903832077980042
Bose Quietcomfort Earbuds 2,NA,0.0,Positive,0.8842901587486267,Positive,0.8675681948661804,NA,0.0
Bose Quietcomfort Earbuds 2,NA,0.0,Positive,0.57828688621521,Positive,0.909954845905304,NA,0.0
Bose Quietcomfort Earbuds 2,NA,0.0,NA,0.0,NA,0.0,NA,0.0
Bose Quietcomfort Earbuds 2,NA,0.0,NA,0.0,Positive,0.8641464114189148,NA,0.0
Bose Quietcomfort Earbuds 2,Negative,0.8509301543235779,NA,0.0,NA,0.0,Negative,0.5785608887672424
Bose Quietcomfort Earbuds 2,NA,0.0,NA,0.0,NA,0.0,Positive,0.9798482060432434
Bose Quietcomfort Earbuds 2,Negative,0.8428936004638672,NA,0.0,Positive,0.9759849309921265,NA,0.0
Bose Quietcomfort Earbuds 2,NA,0.0,NA,0.0,NA,0.0,NA,0.0
Bose Quietcomfort Earbuds 2,NA,0.0,NA,0.0,NA,0.0,NA,0.0
Bose Quietcomfort Earbuds 2,NA,0.0,NA,0.0,NA,0.0,NA,0.0
Bose Quietcomfort Earbuds 2,NA,0.0,NA,0.0,Positive,0.5258551836013794,NA,0.0
Bose Quietcomfort Earbuds 2,NA,0.0,NA,0.0,Negative,0.9807486534118652,NA,0.0
Bose Quietcomfort Earbuds 2,Negative,0.8049225211143494,NA,0.0,Negative,0.8832395076751709,NA,0.0
Bose Quietcomfort Earbuds 2,NA,0.0,NA,0.0,NA,0.0,NA,0.0
Bose Quietcomfort Earbuds 2,NA,0.0,NA,0.0,NA,0.0,NA,0.0
Bose Quietcomfort Earbuds 2,NA,0.0,NA,0.0,NA,0.0,NA,0.0
Bose Quietcomfort Earbuds 2,NA,0.0,NA,0.0,NA,0.0,Positive,0.9804681539535522
Bose Quietcomfort Earbuds 2,NA,0.0,NA,0.0,NA,0.0,NA,0.0
Bose Quietcomfort Earbuds 2,NA,0.0,NA,0.0,NA,0.0,NA,0.0
Bose Quietcomfort Earbuds 2,NA,0.0,Negative,0.9295246601104736,NA,0.0,NA,0.0
Bose Quietcomfort Earbuds 2,Negative,0.8075388073921204,Negative,0.8913701772689819,Negative,0.9181923270225525,Negative,0.6837626099586487
Bose Quietcomfort Earbuds 2,NA,0.0,NA,0.0,Negative,0.5242601633071899,NA,0.0
Bose Quietcomfort Earbuds 2,NA,0.0,NA,0.0,NA,0.0,NA,0.0
Bose Quietcomfort Earbuds 2,NA,0.0,Positive,0.9895362854003906,Positive,0.9785772562026978,Positive,0.979802668094635
Bose Quietcomfort Earbuds 2,Negative,0.7660375237464905,NA,0.0,NA,0.0,NA,0.0
Bose Quietcomfort Earbuds 2,NA,0.0,NA,0.0,NA,0.0,NA,0.0
Bose Quietcomfort Earbuds 2,NA,0.0,NA,0.0,Positive,0.9938778281211853,NA,0.0
Bose Quietcomfort Earbuds 2,NA,0.0,NA,0.0,NA,0.0,NA,0.0
Bose Quietcomfort Earbuds 2,NA,0.0,NA,0.0,NA,0.0,Positive,0.971390962600708
Bose Quietcomfort Earbuds 2,NA,0.0,NA,0.0,Positive,0.5584126114845276,NA,0.0
Bose Quietcomfort Earbuds 2,Negative,0.9224494695663452,Negative,0.9029237627983093,Negative,0.9351564645767212,Negative,0.9208395481109619
Bose Quietcomfort Earbuds 2,NA,0.0,NA,0.0,NA,0.0,Negative,0.915406346321106
Bose Quietcomfort Earbuds 2,NA,0.0,NA,0.0,NA,0.0,NA,0.0
Bose Quietcomfort Earbuds 2,NA,0.0,NA,0.0,NA,0.0,NA,0.0
Bose Quietcomfort Earbuds 2,Negative,0.9589982628822327,NA,0.0,NA,0.0,NA,0.0
Bose Quietcomfort Earbuds 2,NA,0.0,NA,0.0,Positive,0.9474971294403076,NA,0.0
Bose Quietcomfort Earbuds 2,NA,0.0,NA,0.0,NA,0.0,NA,0.0
Bose Quietcomfort Earbuds 2,NA,0.0,NA,0.0,Positive,0.6176955103874207,Positive,0.8567378520965576
Bose Quietcomfort Earbuds 2,NA,0.0,NA,0.0,NA,0.0,NA,0.0
Bose Quietcomfort Earbuds 2,NA,0.0,NA,0.0,NA,0.0,NA,0.0
Bose Quietcomfort Earbuds 2,Positive,0.7683247327804565,NA,0.0,Positive,0.601420521736145,NA,0.0
Bose Quietcomfort Earbuds 2,NA,0.0,Positive,0.6488507390022278,Positive,0.8611500263214111,Positive,0.7521114349365234
Bose Quietcomfort Earbuds 2,NA,0.0,NA,0.0,Positive,0.9899594187736511,Positive,0.9889178276062012
Bose Quietcomfort Earbuds 2,NA,0.0,Positive,0.9963178634643555,Positive,0.9956310987472534,NA,0.0
Bose Quietcomfort Earbuds 2,NA,0.0,NA,0.0,NA,0.0,NA,0.0
Bose Quietcomfort Earbuds 2,NA,0.0,Positive,0.9857290983200073,Positive,0.9920670986175537,Positive,0.9898777604103088
Bose Quietcomfort Earbuds 2,NA,0.0,NA,0.0,NA,0.0,NA,0.0
Bose Quietcomfort Earbuds 2,NA,0.0,NA,0.0,NA,0.0,NA,0.0
Bose Quietcomfort Earbuds 2,NA,0.0,NA,0.0,NA,0.0,NA,0.0
Bose Quietcomfort Earbuds 2,NA,0.0,NA,0.0,Positive,0.8222776651382446,NA,0.0
Bose Quietcomfort Earbuds,Negative,0.6438010931015015,Negative,0.6529563665390015,Negative,0.6702879667282104,NA,0.0
Bose Quietcomfort Earbuds,Positive,0.7218488454818726,NA,0.0,Positive,0.7398399114608765,NA,0.0
Bose Quietcomfort Earbuds,Negative,0.8389132022857666,NA,0.0,Negative,0.6109444499015808,NA,0.0
Bose Quietcomfort Earbuds,NA,0.0,NA,0.0,Positive,0.983995258808136,NA,0.0
Bose Quietcomfort Earbuds,NA,0.0,NA,0.0,NA,0.0,NA,0.0
Bose Quietcomfort Earbuds,Negative,0.8763585090637207,Negative,0.8187453746795654,NA,0.0,NA,0.0
Bose Quietcomfort Earbuds,NA,0.0,NA,0.0,Positive,0.5957908034324646,NA,0.0
Bose Quietcomfort Earbuds,NA,0.0,NA,0.0,NA,0.0,NA,0.0
Bose Quietcomfort Earbuds,Negative,0.6301724910736084,NA,0.0,Positive,0.49487558007240295,NA,0.0
Bose Quietcomfort Earbuds,NA,0.0,NA,0.0,Negative,0.5909171104431152,NA,0.0
Bose Quietcomfort Earbuds,NA,0.0,NA,0.0,NA,0.0,NA,0.0
Bose Quietcomfort Earbuds,Positive,0.9091480374336243,NA,0.0,NA,0.0,NA,0.0
Bose Quietcomfort Earbuds,NA,0.0,Positive,0.5221050381660461,Positive,0.5418772101402283,Positive,0.866832971572876
Bose Quietcomfort Earbuds,Positive,0.4491732120513916,NA,0.0,Positive,0.8933733701705933,Positive,0.8457067012786865
Bose Quietcomfort Earbuds,NA,0.0,NA,0.0,NA,0.0,NA,0.0
Bose Quietcomfort Earbuds,Positive,0.9836771488189697,NA,0.0,Positive,0.9831507802009583,NA,0.0
Bose Quietcomfort Earbuds,NA,0.0,Positive,0.9942268133163452,Positive,0.9948530793190002,Positive,0.9964450001716614
Bose Quietcomfort Earbuds,NA,0.0,NA,0.0,NA,0.0,NA,0.0
Bose Quietcomfort Earbuds,NA,0.0,NA,0.0,NA,0.0,NA,0.0
Bose Quietcomfort Earbuds,NA,0.0,NA,0.0,Negative,0.9704310894012451,NA,0.0
Bose Quietcomfort Earbuds,Positive,0.7238731384277344,NA,0.0,Positive,0.743939220905304,NA,0.0
Bose Quietcomfort Earbuds,Negative,0.9884646534919739,NA,0.0,NA,0.0,NA,0.0
Bose Quietcomfort Earbuds,NA,0.0,NA,0.0,NA,0.0,NA,0.0
Bose Quietcomfort Earbuds,NA,0.0,NA,0.0,NA,0.0,NA,0.0
Bose Quietcomfort Earbuds,NA,0.0,NA,0.0,NA,0.0,NA,0.0
Bose Quietcomfort Earbuds,NA,0.0,NA,0.0,NA,0.0,NA,0.0
Bose Quietcomfort Earbuds,NA,0.0,Negative,0.5340067148208618,Positive,0.967122495174408,NA,0.0
Bose Quietcomfort Earbuds,NA,0.0,Positive,0.5508189797401428,Positive,0.9422404170036316,NA,0.0
Bose Quietcomfort Earbuds,NA,0.0,NA,0.0,NA,0.0,NA,0.0
Bose Quietcomfort Earbuds,NA,0.0,NA,0.0,NA,0.0,NA,0.0
Bose Quietcomfort Earbuds,Positive,0.5776224136352539,Positive,0.6121566891670227,Positive,0.5819284319877625,NA,0.0
Bose Quietcomfort Earbuds,NA,0.0,Positive,0.4965131878852844,Positive,0.4670993387699127,Positive,0.6459628939628601
Bose Quietcomfort Earbuds,NA,0.0,NA,0.0,NA,0.0,NA,0.0
Bose Quietcomfort Earbuds,NA,0.0,Positive,0.9933330416679382,Positive,0.9927517175674438,NA,0.0
Bose Quietcomfort Earbuds,NA,0.0,NA,0.0,NA,0.0,Positive,0.84681636095047
Bose Quietcomfort Earbuds,Positive,0.926464319229126,NA,0.0,NA,0.0,NA,0.0
Bose Quietcomfort Earbuds,NA,0.0,NA,0.0,Positive,0.9962844848632812,NA,0.0
Bose Quietcomfort Earbuds,NA,0.0,NA,0.0,NA,0.0,NA,0.0
Bose Quietcomfort Earbuds,NA,0.0,NA,0.0,NA,0.0,NA,0.0
Bose Quietcomfort Earbuds,Positive,0.9153997302055359,Positive,0.9210283160209656,Positive,0.9269154667854309,Positive,0.9434857368469238
Bose Quietcomfort Earbuds,NA,0.0,NA,0.0,NA,0.0,NA,0.0
Bose Quietcomfort Earbuds,NA,0.0,NA,0.0,NA,0.0,NA,0.0
Bose Quietcomfort Earbuds,NA,0.0,NA,0.0,NA,0.0,NA,0.0
Bose Quietcomfort Earbuds,NA,0.0,NA,0.0,NA,0.0,NA,0.0
Bose Quietcomfort Earbuds,NA,0.0,NA,0.0,NA,0.0,NA,0.0
Bose Quietcomfort Earbuds,NA,0.0,NA,0.0,NA,0.0,Positive,0.8417112827301025
Bose Quietcomfort Earbuds,NA,0.0,NA,0.0,NA,0.0,NA,0.0
Bose Quietcomfort Earbuds,NA,0.0,Positive,0.928010106086731,Negative,0.5891280770301819,Positive,0.9354064464569092
Bose Quietcomfort Earbuds,NA,0.0,NA,0.0,Positive,0.97089684009552,Negative,0.9412760734558105
Bose Quietcomfort Earbuds,NA,0.0,Negative,0.8752339482307434,Negative,0.9884334206581116,Negative,0.6756547689437866
Beats Fit Pro Earbuds,Positive,0.9534477591514587,NA,0.0,Negative,0.8998653888702393,NA,0.0
Beats Fit Pro Earbuds,NA,0.0,Negative,0.6008226871490479,NA,0.0,Positive,0.6564922332763672
Beats Fit Pro Earbuds,NA,0.0,NA,0.0,NA,0.0,NA,0.0
Beats Fit Pro Earbuds,NA,0.0,Positive,0.9939448237419128,NA,0.0,Positive,0.9940989017486572
Beats Fit Pro Earbuds,NA,0.0,NA,0.0,NA,0.0,Negative,0.9962080717086792
Beats Fit Pro Earbuds,NA,0.0,NA,0.0,NA,0.0,NA,0.0
Beats Fit Pro Earbuds,Positive,0.9801332950592041,NA,0.0,NA,0.0,NA,0.0
Beats Fit Pro Earbuds,NA,0.0,NA,0.0,NA,0.0,NA,0.0
Beats Fit Pro Earbuds,NA,0.0,NA,0.0,NA,0.0,NA,0.0
Beats Fit Pro Earbuds,Neutral,0.37109625339508057,Positive,0.3425319790840149,NA,0.0,Negative,0.4290609657764435
Beats Fit Pro Earbuds,Negative,0.9530049562454224,NA,0.0,NA,0.0,Negative,0.5695781707763672
Beats Fit Pro Earbuds,NA,0.0,NA,0.0,Negative,0.9396997094154358,NA,0.0
Beats Fit Pro Earbuds,NA,0.0,NA,0.0,NA,0.0,Negative,0.986125648021698
Beats Fit Pro Earbuds,NA,0.0,Negative,0.9533730149269104,NA,0.0,NA,0.0
Beats Fit Pro Earbuds,NA,0.0,NA,0.0,NA,0.0,NA,0.0
Beats Fit Pro Earbuds,NA,0.0,Negative,0.9613399505615234,Negative,0.5425465703010559,NA,0.0
Beats Fit Pro Earbuds,NA,0.0,NA,0.0,NA,0.0,NA,0.0
Beats Fit Pro Earbuds,NA,0.0,NA,0.0,NA,0.0,NA,0.0
Beats Fit Pro Earbuds,NA,0.0,NA,0.0,NA,0.0,NA,0.0
Beats Fit Pro Earbuds,Negative,0.9632074236869812,NA,0.0,NA,0.0,NA,0.0
Beats Fit Pro Earbuds,Negative,0.8699673414230347,NA,0.0,NA,0.0,Negative,0.7626034021377563
Beats Fit Pro Earbuds,Negative,0.6070469617843628,NA,0.0,NA,0.0,Positive,0.5652493834495544
Beats Fit Pro Earbuds,NA,0.0,NA,0.0,Positive,0.9833424091339111,NA,0.0
Beats Fit Pro Earbuds,Positive,0.9873537421226501,NA,0.0,Positive,0.9880616664886475,Positive,0.9816392660140991
Beats Fit Pro Earbuds,NA,0.0,NA,0.0,Positive,0.9804038405418396,NA,0.0
Beats Fit Pro Earbuds,Negative,0.9852404594421387,NA,0.0,NA,0.0,NA,0.0
Beats Fit Pro Earbuds,Negative,0.6025265455245972,NA,0.0,Negative,0.8325692415237427,NA,0.0
Beats Fit Pro Earbuds,Negative,0.577331006526947,NA,0.0,Negative,0.9060573577880859,NA,0.0
Beats Fit Pro Earbuds,NA,0.0,Positive,0.8224608302116394,Negative,0.9907475709915161,NA,0.0
Beats Fit Pro Earbuds,Positive,0.6354259848594666,NA,0.0,NA,0.0,NA,0.0
Beats Fit Pro Earbuds,NA,0.0,NA,0.0,NA,0.0,NA,0.0
Beats Fit Pro Earbuds,NA,0.0,NA,0.0,NA,0.0,Positive,0.9975737929344177
Beats Fit Pro Earbuds,NA,0.0,NA,0.0,NA,0.0,NA,0.0
Beats Fit Pro Earbuds,NA,0.0,NA,0.0,Positive,0.9977466464042664,NA,0.0
Beats Fit Pro Earbuds,NA,0.0,NA,0.0,Positive,0.9931922554969788,NA,0.0
